,number_of_rooms,floor,area,address,date,price,"latitude, longitude"
4537,1,13,60.0,Ориентир Новый Точиксодиротбанк,25.01.2022 10:16,393300,"(nan, nan)"
4538,4,1,100.0,И. Сомони,25.01.2022 10:08,920000,"(38.5871679, 68.7869964)"
4539,6,17,154.0,Ориентир Олимпийский Комитет,25.01.2022 10:03,867790,"(nan, nan)"
4540,5,2,122.0,Сино,25.01.2022 09:48,1192550,"(38.5615057, 68.739065)"
4541,4,4,90.0,Зарафшон,25.01.2022 09:33,677000,"(38.5853222, 68.71890381645422)"
4542,4,1,85.0,,25.01.2022 09:14,529000,"(nan, nan)"
4543,1,3,26.0,Фирдавси,25.01.2022 09:11,250000,"(38.5305762, 68.7763022)"
4544,5,2,100.0,Зарнисор,25.01.2022 08:48,646000,"(38.5077678, 68.7681578)"
4545,1,5,43.0,н.Шохмансур,25.01.2022 08:22,250000,"(38.5507163, 68.8305472)"
4546,4,1,65.0,Фирдавси,25.01.2022 08:19,700000,"(38.5305762, 68.7763022)"
4547,3,1,68.0,Фирдавси,25.01.2022 08:14,600000,"(38.5305762, 68.7763022)"
4548,1,1,50.0,Аэропорт,25.01.2022 08:02,220000,"(38.54557415, 68.82363701984585)"
4549,3,13,90.0,103 мкр,25.01.2022 07:59,870000,"(38.5425835, 68.81521423589763)"
4550,1,2,32.0,Cино,25.01.2022 07:49,180000,"(nan, nan)"
4551,2,4,50.0,,25.01.2022 07:22,295000,"(nan, nan)"
